,Spotify → TED,Spotify → NYTimes,Spotify → Gigaword,TED → NYTimes,TED → Gigaword,NYTimes → Gigaword
for,-34.49,37.01,41.8,109.15,116.47,3.5
so,45.09,-62.85,-71.32,-74.39,-80.24,-22.81
if,14.66,-26.67,-31.84,-36.05,-40.55,-7.04
because,52.35,-26.76,-38.69,-51.92,-59.76,-16.29
since,-41.08,127.2,227.72,285.64,456.27,44.24
given,-33.97,30.4,26.28,97.48,91.24,-3.16
whatever,-37.4,-57.28,-68.55,-31.75,-49.76,-26.38
because of,49.4,216.46,231.79,111.81,122.08,4.85
now that,5.42,-39.54,-50.96,-42.65,-53.48,-18.89
after all,-52.45,-20.04,-48.91,68.15,7.45,-36.1
so that,195.33,22.86,3.04,-58.4,-65.11,-16.13
thus,-74.21,75.74,4.26,581.54,304.33,-40.67
therefore,38.28,-13.33,-8.65,-37.32,-33.94,5.4
as long as,-34.07,22.68,23.04,86.07,86.61,0.29
in case,-24.63,-33.36,-5.42,-11.59,25.48,41.93
as a result,-1.2,107.31,52.92,109.83,54.79,-26.23
in this way,121.86,-49.88,-58.59,-77.41,-81.34,-17.39
in response to,8.53,250.34,385.94,222.79,347.74,38.71
as a result of,-9.8,142.2,172.63,168.53,202.26,12.56
